226.9241 	EXP 	window1: recordFrameIntervals = False
227.9229 	EXP 	polygon: autoDraw = True
228.9077 	EXP 	grating: autoDraw = True
228.9077 	EXP 	grating: tex = 'sin'
228.9245 	EXP 	polygon: autoDraw = False
229.2078 	EXP 	grating: autoDraw = False
229.3269 	EXP 	window1: recordFrameIntervals = False
229.3279 	DATA 	Keypress: right
229.3416 	EXP 	polygon: autoDraw = False
229.3416 	EXP 	grating: autoDraw = False
229.3417 	EXP 	window1: recordFrameIntervals = False
230.3403 	EXP 	polygon: autoDraw = True
231.3254 	EXP 	grating: autoDraw = True
231.3254 	EXP 	grating: tex = 'sin'
231.3421 	EXP 	polygon: autoDraw = False
231.6257 	EXP 	grating: autoDraw = False
231.7279 	EXP 	window1: recordFrameIntervals = False
231.7294 	DATA 	Keypress: left
231.7431 	EXP 	polygon: autoDraw = False
231.7431 	EXP 	grating: autoDraw = False
231.7433 	EXP 	window1: recordFrameIntervals = False
232.7411 	EXP 	polygon: autoDraw = True
233.7430 	EXP 	polygon: autoDraw = False
233.7430 	EXP 	grating: autoDraw = True
233.7430 	EXP 	grating: tex = 'sin'
234.0426 	EXP 	grating: autoDraw = False
234.1117 	EXP 	window1: recordFrameIntervals = False
234.1128 	DATA 	Keypress: right
234.1261 	EXP 	polygon: autoDraw = False
234.1261 	EXP 	grating: autoDraw = False
234.1265 	EXP 	window1: recordFrameIntervals = False
235.1269 	EXP 	polygon: autoDraw = True
236.1267 	EXP 	polygon: autoDraw = False
236.1267 	EXP 	grating: autoDraw = True
236.1267 	EXP 	grating: tex = 'sin'
236.4269 	EXP 	grating: autoDraw = False
236.4788 	EXP 	window1: recordFrameIntervals = False
236.4798 	DATA 	Keypress: right
236.4935 	EXP 	polygon: autoDraw = False
236.4935 	EXP 	grating: autoDraw = False
236.4936 	EXP 	window1: recordFrameIntervals = False
237.4925 	EXP 	polygon: autoDraw = True
238.4776 	EXP 	grating: autoDraw = True
238.4776 	EXP 	grating: tex = 'sin'
238.4940 	EXP 	polygon: autoDraw = False
238.7774 	EXP 	grating: autoDraw = False
238.8635 	EXP 	window1: recordFrameIntervals = False
238.8645 	DATA 	Keypress: left
238.8777 	EXP 	polygon: autoDraw = False
238.8777 	EXP 	grating: autoDraw = False
238.8779 	EXP 	window1: recordFrameIntervals = False
239.8766 	EXP 	polygon: autoDraw = True
240.8781 	EXP 	polygon: autoDraw = False
240.8781 	EXP 	grating: autoDraw = True
240.8781 	EXP 	grating: tex = 'sin'
